2018-12-14 14:58:50,628 | INFO     | Loaded hyper-parameter configuration from file: hparams/default.json | 49:train_model
2018-12-14 14:58:50,629 | INFO     | Hyper-parameters: {'root_dir': './runs/char_lstm_classifier', 'num_filters': 50, 'vocab_size': 10000, 'dropout_keep_prob': 0.5, 'filter_size': [2, 3, 4, 5], 'glove_dir': './glove.6B', 'num_epochs': 9, 'model': 'char_lstm_classifier', 'batch_size': 16, 'embedding_dim': 300, 'rnn_hidden_dim': 256, 'char_embedding_dim': 50} | 50:train_model
2018-12-14 14:58:54,267 | INFO     | [Step 10] loss: 0.6457, accuracy: 62.50% | 211:train
2018-12-14 14:58:55,136 | INFO     | [Step 20] loss: 0.6265, accuracy: 75.00% | 211:train
2018-12-14 14:58:55,882 | INFO     | [Step 30] loss: 0.7168, accuracy: 50.00% | 211:train
2018-12-14 14:58:56,669 | INFO     | [Step 40] loss: 0.7841, accuracy: 56.25% | 211:train
2018-12-14 14:58:57,464 | INFO     | [Step 50] loss: 0.6933, accuracy: 56.25% | 211:train
2018-12-14 14:58:58,267 | INFO     | [Step 60] loss: 0.4896, accuracy: 81.25% | 211:train
2018-12-14 14:58:58,509 | INFO     | End of epoch 1. | 213:train
2018-12-14 14:58:58,735 | INFO     | Model saved at: ./runs/char_lstm_classifier/20181214-145850/saves_char_lstm_classifier/model.ckpt-63 | 217:train
2018-12-14 14:58:59,262 | INFO     | [Step 70] loss: 0.6650, accuracy: 43.75% | 211:train
2018-12-14 14:59:00,087 | INFO     | [Step 80] loss: 0.2921, accuracy: 87.50% | 211:train
2018-12-14 14:59:00,796 | INFO     | [Step 90] loss: 0.2010, accuracy: 87.50% | 211:train
2018-12-14 14:59:01,529 | INFO     | [Step 100] loss: 0.4053, accuracy: 75.00% | 211:train
2018-12-14 14:59:02,344 | INFO     | [Step 110] loss: 0.4738, accuracy: 68.75% | 211:train
2018-12-14 14:59:03,101 | INFO     | [Step 120] loss: 0.2505, accuracy: 87.50% | 211:train
2018-12-14 14:59:03,533 | INFO     | End of epoch 2. | 213:train
2018-12-14 14:59:03,698 | INFO     | Model saved at: ./runs/char_lstm_classifier/20181214-145850/saves_char_lstm_classifier/model.ckpt-126 | 217:train
2018-12-14 14:59:03,999 | INFO     | [Step 130] loss: 0.1855, accuracy: 100.00% | 211:train
2018-12-14 14:59:04,734 | INFO     | [Step 140] loss: 0.1067, accuracy: 100.00% | 211:train
2018-12-14 14:59:05,553 | INFO     | [Step 150] loss: 0.1210, accuracy: 100.00% | 211:train
2018-12-14 14:59:06,298 | INFO     | [Step 160] loss: 0.0270, accuracy: 100.00% | 211:train
2018-12-14 14:59:07,079 | INFO     | [Step 170] loss: 0.3744, accuracy: 87.50% | 211:train
2018-12-14 14:59:07,848 | INFO     | [Step 180] loss: 0.0379, accuracy: 100.00% | 211:train
2018-12-14 14:59:08,532 | INFO     | End of epoch 3. | 213:train
2018-12-14 14:59:08,694 | INFO     | Model saved at: ./runs/char_lstm_classifier/20181214-145850/saves_char_lstm_classifier/model.ckpt-189 | 217:train
2018-12-14 14:59:08,773 | INFO     | [Step 190] loss: 0.0523, accuracy: 100.00% | 211:train
2018-12-14 14:59:09,525 | INFO     | [Step 200] loss: 0.1485, accuracy: 93.75% | 211:train
2018-12-14 14:59:10,302 | INFO     | [Step 210] loss: 0.2566, accuracy: 93.75% | 211:train
2018-12-14 14:59:11,029 | INFO     | [Step 220] loss: 0.0275, accuracy: 100.00% | 211:train
2018-12-14 14:59:11,805 | INFO     | [Step 230] loss: 0.0082, accuracy: 100.00% | 211:train
2018-12-14 14:59:12,568 | INFO     | [Step 240] loss: 0.0039, accuracy: 100.00% | 211:train
