2018-12-18 10:59:14,049 | INFO     | Loaded hyper-parameter configuration from file: hparams/default.json | 49:train_model
2018-12-18 10:59:14,049 | INFO     | Hyper-parameters: {'num_filters': 50, 'num_epochs': 9, 'glove_dir': './glove.6B', 'filter_size': [2, 3, 4, 5], 'dropout_keep_prob': 0.5, 'batch_size': 16, 'model': 'char_lstm_classifier', 'root_dir': './runs/char_lstm_classifier', 'vocab_size': 10000, 'char_embedding_dim': 50, 'rnn_hidden_dim': 256, 'embedding_dim': 300} | 50:train_model
2018-12-18 10:59:17,582 | INFO     | [Step 10] loss: 0.6421, accuracy: 75.00% | 214:train
2018-12-18 10:59:18,376 | INFO     | [Step 20] loss: 0.5840, accuracy: 62.50% | 214:train
2018-12-18 10:59:19,160 | INFO     | [Step 30] loss: 0.6662, accuracy: 62.50% | 214:train
2018-12-18 10:59:19,964 | INFO     | [Step 40] loss: 0.8517, accuracy: 56.25% | 214:train
2018-12-18 10:59:20,705 | INFO     | [Step 50] loss: 0.7812, accuracy: 37.50% | 214:train
2018-12-18 10:59:21,462 | INFO     | [Step 60] loss: 0.5165, accuracy: 81.25% | 214:train
2018-12-18 10:59:21,674 | INFO     | End of epoch 1. | 216:train
2018-12-18 10:59:21,901 | INFO     | Model saved at: ./runs/char_lstm_classifier/20181218-105914/saves_char_lstm_classifier/model.ckpt-63 | 220:train
2018-12-18 10:59:22,418 | INFO     | [Step 70] loss: 0.6666, accuracy: 50.00% | 214:train
2018-12-18 10:59:23,205 | INFO     | [Step 80] loss: 0.3357, accuracy: 87.50% | 214:train
2018-12-18 10:59:23,900 | INFO     | [Step 90] loss: 0.1905, accuracy: 93.75% | 214:train
2018-12-18 10:59:24,631 | INFO     | [Step 100] loss: 0.4170, accuracy: 75.00% | 214:train
2018-12-18 10:59:25,441 | INFO     | [Step 110] loss: 0.4228, accuracy: 68.75% | 214:train
2018-12-18 10:59:26,208 | INFO     | [Step 120] loss: 0.2355, accuracy: 93.75% | 214:train
2018-12-18 10:59:26,654 | INFO     | End of epoch 2. | 216:train
2018-12-18 10:59:26,825 | INFO     | Model saved at: ./runs/char_lstm_classifier/20181218-105914/saves_char_lstm_classifier/model.ckpt-126 | 220:train
2018-12-18 10:59:27,122 | INFO     | [Step 130] loss: 0.2260, accuracy: 100.00% | 214:train
2018-12-18 10:59:27,850 | INFO     | [Step 140] loss: 0.1035, accuracy: 100.00% | 214:train
2018-12-18 10:59:28,662 | INFO     | [Step 150] loss: 0.1134, accuracy: 93.75% | 214:train
2018-12-18 10:59:29,377 | INFO     | [Step 160] loss: 0.0546, accuracy: 100.00% | 214:train
2018-12-18 10:59:30,170 | INFO     | [Step 170] loss: 0.5892, accuracy: 75.00% | 214:train
2018-12-18 10:59:30,928 | INFO     | [Step 180] loss: 0.2023, accuracy: 81.25% | 214:train
2018-12-18 10:59:31,588 | INFO     | End of epoch 3. | 216:train
2018-12-18 10:59:31,759 | INFO     | Model saved at: ./runs/char_lstm_classifier/20181218-105914/saves_char_lstm_classifier/model.ckpt-189 | 220:train
2018-12-18 10:59:31,841 | INFO     | [Step 190] loss: 0.0549, accuracy: 100.00% | 214:train
2018-12-18 10:59:32,587 | INFO     | [Step 200] loss: 0.1011, accuracy: 93.75% | 214:train
2018-12-18 10:59:33,396 | INFO     | [Step 210] loss: 0.1322, accuracy: 93.75% | 214:train
2018-12-18 10:59:34,196 | INFO     | [Step 220] loss: 0.0119, accuracy: 100.00% | 214:train
2018-12-18 10:59:34,982 | INFO     | [Step 230] loss: 0.0823, accuracy: 100.00% | 214:train
2018-12-18 10:59:35,730 | INFO     | [Step 240] loss: 0.0530, accuracy: 100.00% | 214:train
2018-12-18 10:59:36,466 | INFO     | [Step 250] loss: 0.0080, accuracy: 100.00% | 214:train
2018-12-18 10:59:36,601 | INFO     | End of epoch 4. | 216:train
2018-12-18 10:59:36,764 | INFO     | Model saved at: ./runs/char_lstm_classifier/20181218-105914/saves_char_lstm_classifier/model.ckpt-252 | 220:train
2018-12-18 10:59:37,355 | INFO     | [Step 260] loss: 0.0166, accuracy: 100.00% | 214:train
2018-12-18 10:59:38,133 | INFO     | [Step 270] loss: 0.0330, accuracy: 100.00% | 214:train
2018-12-18 10:59:38,853 | INFO     | [Step 280] loss: 0.0088, accuracy: 100.00% | 214:train
2018-12-18 10:59:39,589 | INFO     | [Step 290] loss: 0.0012, accuracy: 100.00% | 214:train
2018-12-18 10:59:40,347 | INFO     | [Step 300] loss: 0.0021, accuracy: 100.00% | 214:train
2018-12-18 10:59:41,123 | INFO     | [Step 310] loss: 0.0003, accuracy: 100.00% | 214:train
2018-12-18 10:59:41,489 | INFO     | End of epoch 5. | 216:train
2018-12-18 10:59:41,729 | INFO     | Model saved at: ./runs/char_lstm_classifier/20181218-105914/saves_char_lstm_classifier/model.ckpt-315 | 220:train
2018-12-18 10:59:42,102 | INFO     | [Step 320] loss: 0.0021, accuracy: 100.00% | 214:train
2018-12-18 10:59:42,888 | INFO     | [Step 330] loss: 0.0003, accuracy: 100.00% | 214:train
2018-12-18 10:59:43,610 | INFO     | [Step 340] loss: 0.0006, accuracy: 100.00% | 214:train
2018-12-18 10:59:44,325 | INFO     | [Step 350] loss: 0.0001, accuracy: 100.00% | 214:train
2018-12-18 10:59:45,096 | INFO     | [Step 360] loss: 0.0003, accuracy: 100.00% | 214:train
2018-12-18 10:59:45,840 | INFO     | [Step 370] loss: 0.0001, accuracy: 100.00% | 214:train
2018-12-18 10:59:46,417 | INFO     | End of epoch 6. | 216:train
2018-12-18 10:59:46,586 | INFO     | Model saved at: ./runs/char_lstm_classifier/20181218-105914/saves_char_lstm_classifier/model.ckpt-378 | 220:train
2018-12-18 10:59:46,731 | INFO     | [Step 380] loss: 0.0001, accuracy: 100.00% | 214:train
2018-12-18 10:59:47,471 | INFO     | [Step 390] loss: 0.0001, accuracy: 100.00% | 214:train
2018-12-18 10:59:48,244 | INFO     | [Step 400] loss: 0.0005, accuracy: 100.00% | 214:train
2018-12-18 10:59:48,981 | INFO     | [Step 410] loss: 0.0002, accuracy: 100.00% | 214:train
2018-12-18 10:59:49,754 | INFO     | [Step 420] loss: 0.0003, accuracy: 100.00% | 214:train
2018-12-18 10:59:50,512 | INFO     | [Step 430] loss: 0.0001, accuracy: 100.00% | 214:train
2018-12-18 10:59:51,254 | INFO     | [Step 440] loss: 0.0006, accuracy: 100.00% | 214:train
2018-12-18 10:59:51,319 | INFO     | End of epoch 7. | 216:train
2018-12-18 10:59:51,485 | INFO     | Model saved at: ./runs/char_lstm_classifier/20181218-105914/saves_char_lstm_classifier/model.ckpt-441 | 220:train
2018-12-18 10:59:52,150 | INFO     | [Step 450] loss: 0.0001, accuracy: 100.00% | 214:train
2018-12-18 10:59:52,934 | INFO     | [Step 460] loss: 0.0000, accuracy: 100.00% | 214:train
2018-12-18 10:59:53,664 | INFO     | [Step 470] loss: 0.0003, accuracy: 100.00% | 214:train
2018-12-18 10:59:54,420 | INFO     | [Step 480] loss: 0.0003, accuracy: 100.00% | 214:train
2018-12-18 10:59:55,212 | INFO     | [Step 490] loss: 0.0002, accuracy: 100.00% | 214:train
2018-12-18 10:59:55,972 | INFO     | [Step 500] loss: 0.0003, accuracy: 100.00% | 214:train
2018-12-18 10:59:56,251 | INFO     | End of epoch 8. | 216:train
2018-12-18 10:59:56,422 | INFO     | Model saved at: ./runs/char_lstm_classifier/20181218-105914/saves_char_lstm_classifier/model.ckpt-504 | 220:train
2018-12-18 10:59:56,901 | INFO     | [Step 510] loss: 0.0002, accuracy: 100.00% | 214:train
2018-12-18 10:59:57,691 | INFO     | [Step 520] loss: 0.0004, accuracy: 100.00% | 214:train
2018-12-18 10:59:58,399 | INFO     | [Step 530] loss: 0.0003, accuracy: 100.00% | 214:train
2018-12-18 10:59:59,105 | INFO     | [Step 540] loss: 0.0002, accuracy: 100.00% | 214:train
2018-12-18 10:59:59,880 | INFO     | [Step 550] loss: 0.0002, accuracy: 100.00% | 214:train
2018-12-18 11:00:00,625 | INFO     | [Step 560] loss: 0.0003, accuracy: 100.00% | 214:train
2018-12-18 11:00:01,128 | INFO     | End of epoch 9. | 216:train
2018-12-18 11:00:01,297 | INFO     | Model saved at: ./runs/char_lstm_classifier/20181218-105914/saves_char_lstm_classifier/model.ckpt-567 | 220:train
