2018-12-14 15:00:07,156 | INFO     | Loaded hyper-parameter configuration from file: hparams/default.json | 49:train_model
2018-12-14 15:00:07,156 | INFO     | Hyper-parameters: {'rnn_hidden_dim': 256, 'embedding_dim': 300, 'num_epochs': 9, 'dropout_keep_prob': 0.5, 'model': 'char_lstm_classifier', 'num_filters': 50, 'filter_size': [2, 3, 4, 5], 'vocab_size': 10000, 'glove_dir': './glove.6B', 'batch_size': 16, 'root_dir': './runs/char_lstm_classifier', 'char_embedding_dim': 50} | 50:train_model
2018-12-14 15:00:10,688 | INFO     | [Step 10] loss: 0.6841, accuracy: 62.50% | 211:train
2018-12-14 15:00:11,482 | INFO     | [Step 20] loss: 0.6444, accuracy: 75.00% | 211:train
2018-12-14 15:00:12,209 | INFO     | [Step 30] loss: 0.7031, accuracy: 50.00% | 211:train
2018-12-14 15:00:12,981 | INFO     | [Step 40] loss: 0.7516, accuracy: 56.25% | 211:train
2018-12-14 15:00:13,726 | INFO     | [Step 50] loss: 0.6864, accuracy: 56.25% | 211:train
2018-12-14 15:00:14,465 | INFO     | [Step 60] loss: 0.4648, accuracy: 75.00% | 211:train
2018-12-14 15:00:14,677 | INFO     | End of epoch 1. | 213:train
2018-12-14 15:00:14,907 | INFO     | Model saved at: ./runs/char_lstm_classifier/20181214-150007/saves_char_lstm_classifier/model.ckpt-63 | 217:train
2018-12-14 15:00:15,413 | INFO     | [Step 70] loss: 0.6705, accuracy: 56.25% | 211:train
2018-12-14 15:00:16,246 | INFO     | [Step 80] loss: 0.3361, accuracy: 81.25% | 211:train
2018-12-14 15:00:16,991 | INFO     | [Step 90] loss: 0.1829, accuracy: 100.00% | 211:train
2018-12-14 15:00:17,712 | INFO     | [Step 100] loss: 0.4789, accuracy: 75.00% | 211:train
2018-12-14 15:00:18,484 | INFO     | [Step 110] loss: 0.3783, accuracy: 75.00% | 211:train
2018-12-14 15:00:19,237 | INFO     | [Step 120] loss: 0.2333, accuracy: 93.75% | 211:train
2018-12-14 15:00:19,650 | INFO     | End of epoch 2. | 213:train
2018-12-14 15:00:19,817 | INFO     | Model saved at: ./runs/char_lstm_classifier/20181214-150007/saves_char_lstm_classifier/model.ckpt-126 | 217:train
2018-12-14 15:00:20,107 | INFO     | [Step 130] loss: 0.2212, accuracy: 93.75% | 211:train
